FECHA;ORIGEN;DESTINO;DISTANCIA DESTINO;CONSUMO ACPM DESTINO e;ODOM INICIAL;ODOM FINAL;DISTANCIA RECORRIDA;AUDITORIA DISTANCIA;CANTIDAD CARGADA;CANTIDAD DESCARGADA;DIFERENCIA;TIEMPO DE CARGUE;TIEMPO MUERTO;TIEMPO EN EL VIAJE;HORAS MOTOR;DIAS DE VIAJE;COSTO MANO DE OBRA;PEAJES RUTA;VALOR PEAJES;CONSUMO ACPM;COSTO ACPM;ALOJAM.;MANUTENC.;IMPREVISTOS;MANTENIMIENTO;DIVERSOS;FLETE 
3-ene;B/BERMEJA;CARTAGENA;1338;160;120829;121749;920; -   ;33.656;;33.656;0:00:00;0:00;0:00:00;27:53:17;1;$ 122.978;18;540.700; -   ; -   ;22.950;40.800; -   ; -   ;10.000;$ 135
3-ene;B/BERMEJA;CARTAGENA;1338;160;1051479;1052855;1376; -   ;33.213;;33.213;0:00:00;0:00;0:00:00;28:59:13;1;$ 122.978;18;540.700;160;1.273.600;22.950;40.800; -   ; -   ;22.000;$ 135
3-ene;B/BERMEJA;CARTAGENA;1338;160;313692;314808;1116; -   ;33.705;;33.705;0:00:00;0:00;0:00:00;18:28:53;1;$ 122.978;18;540.700;160; -   ;22.950;40.800; -   ;55.000;10.000;$ 135
3-ene;B/BERMEJA;LA PUTANA;100;23;872293;872394;101; -   ;33.290;33.290; -   ;0:00:00;0:00;0:00:00;5:38:12;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
4-ene;B/BERMEJA;CARTAGENA;1338;160;945662;947076;1414; Revisar Km. ;33.500;;33.500;0:00:00;0:00;0:00:00;28:26:45;2;$ 245.956;18;540.700; -   ; -   ;22.950;40.800; -   ;480.000;10.000;$ 135
4-ene;B/BERMEJA;SAN JUAN NEPOMUCENO;1372;145;571481;572666;1185; -   ;24.780;;24.780;1:20:00;0:57;25:50:00;33:07:07;2;$ 245.956;12;416.000; -   ; -   ;45.900;54.400; -   ;24.280;10.000;$ 122
4-ene;B/BERMEJA;CARTAGENA;1338;160;885548;886931;1383; Revisar Km. ;34.010;;34.010;0:00:00;0:00;0:00:00;24:55:03;2;$ 245.956;18;540.700;160;1.273.600;45.900;47.600; -   ;39.000;20.000;$ 135
4-ene;B/BERMEJA;CARTAGENA;1338;160;488871;490290;1419; Revisar Km. ;33.471;;33.471;0:00:00;0:00;0:00:00;28:57:20;2;$ 245.956;18;567.000; -   ; -   ;45.900;47.600; -   ; -   ;20.000;$ 135
4-ene;B/BERMEJA;SAN JUAN NEPOMUCENO;1372;145;944996;946197;1201; -   ;33.680;;33.680;0:00:00;0:00;0:00:00;24:40:38;2;$ 245.956;12;343.500; -   ; -   ;45.900;40.800; -   ;60.000;44.000;$ 122
4-ene;MOSQUERA;B/BERMEJA;N/A;0;803846;804284;438;#­VALOR!;14.450;14.450; -   ;0:00:00;0:00;0:00:00;3:42:31;1;$ 122.978;4;191.800;145;1.248.446;22.950;20.400; -   ; -   ;39.200; $ - 
4-ene;B/BERMEJA;LA PUTANA;100;23;322160;322247;87; -   ;33.200;;33.200;0:00:00;0:00;0:00:00;1:45:22;1;$ 122.978;0; -   ;170;149.940; -   ;13.600; -   ;104.850;10.000;$ 20
5-ene;B/BERMEJA;LA PAYOA;68;30;23915;24013;98; -   ;32.610;32.610; -   ;0:55:00;0:40;1:30:00;4:47:02;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
6-ene;B/BERMEJA;CARTAGENA;1338;160;1052855;1054234;1379; Revisar Km. ;33.190;33.140;50;0:00:00;0:00;0:00:00;35:41:23;2;$ 245.956;18;540.700;150;1.197.576;45.900;54.400; -   ; -   ;32.000;$ 135
6-ene;B/BERMEJA;CARTAGENA;1338;160;314808;315923;1115; -   ;33.702;33.905;-203;0:00:00;0:00;0:00:00;32:38:57;2;$ 245.956;18;540.700;157;1.256.404;45.900;54.400; -   ; -   ;20.000;$ 135
7-ene;B/BERMEJA;CARTAGENA;1338;160;872394;873769;1375; -   ;33.505;33.540;-35;0:00:00;0:00;0:00:00;28:49:22;3;$ 368.934;18;540.700; -   ; -   ;45.900;54.400; -   ;142.000;12.000;$ 135
7-ene;B/BERMEJA;CARTAGENA;1338;160;886939;888323;1384; Revisar Km. ;33.941;33.880;61;0:00:00;0:00;0:00:00;32:22:15;2;$ 245.956;18;540.700;150;1.194.000;45.900;47.600; -   ; -   ;20.000;$ 135
8-ene;B/BERMEJA;BOGOTA;944;141;920666;921640;974; -   ;32.380;32.520;-140;5:08:00;1:40;51:00:00;29:21:23;3;$ 368.934;10;526.200;151;1.324.762;68.850;68.000; -   ;57.000;50.000;$ 125
8-ene;B/BERMEJA;SAN JUAN NEPOMUCENO;1372;145;946204;946890;686; -   ;33.780;33.780; -   ;1:44:00;2:46;30:00:00;15:57:52;2;$ 245.956;9;279.700;142;1.133.170;45.900;61.200; -   ;60.000;26.000;$ 122
8-ene;B/BERMEJA;LA LIZAMA;68;30;24066;24166;100; -   ;32.950;32.950; -   ;0:00:00;0:00;0:00:00;5:22:03;1;$ 122.978;0; -   ;100;879.000; -   ;13.600; -   ;30.000; -   ;$ 34
9-ene;B/BERMEJA;LA PAYOA;68;30;24151;24253;102; -   ;33.090;33.090; -   ;0:57:00;6:53;2:10:00;3:08:04;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ;15.000; -   ;$ 20
10-ene;B/BERMEJA;MOSQUERA;850;144;803403;803846;443; -   ;27.830;27.830; -   ;11:39:00;0:42;16:20:00;56:46:33;8;$ 983.824;14;643.100;21;186.680;127.950;108.800; -   ;63.000;100.000; $ - 
11-ene;B/BERMEJA;B/MANGA;440;73;558467;558605;138; -   ; -   ; -   ; -   ;0:00:00;0:00;0:00:00;;2;$ 245.956;1;19.500; -   ; -   ;45.900;47.600; -   ; -   ;61.000; $ - 
11-ene;B/BERMEJA;LA PUTANA;100;23;24252;24355;103; -   ;;31.990;-31.990;1:05:00;3:40;2:00:00;2:47:45;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
12-ene;B/BERMEJA;LA PUTANA;100;23;24350;24457;107; -   ;32.790;32.790; -   ;1:05:00;0:20;1:30:00;3:43:43;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
13-ene;B/BERMEJA;LA LIZAMA;68;30;24461;24557;96; -   ;32.250;32.250; -   ;2:10:00;1:30;2:00:00;3:53:15;1;$ 122.978;0; -   ;20;175.800; -   ;13.600; -   ; -   ; -   ;$ 34
13-ene;B/BERMEJA;LA PAYOA;68;30;24461;24565;104; -   ;33.090;33.090; -   ;2:10:00;1:30;2:00:00;4:36:27;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
14-ene;B/BERMEJA;CARTAGENA;1338;160;824282;826152;1870; Revisar Km. ;32.471;;32.471;0:00:00;0:00;0:00:00;63:09:44;6;$ 737.868;18;569.200;268;3.009.219;22.950;40.800; -   ; -   ;29.000; $ - 
14-ene;B/BERMEJA;CARTAGENA;1338;160;947076;949032;1956; Revisar Km. ;33.190;33.160;30;0:00:00;0:00;0:00:00;60:28:24;7;$ 860.846;20;575.800;294;2.477.274;22.950;40.800; -   ;190.000;30.000;$ 135
14-ene;B/BERMEJA;CARTAGENA;1338;160;873769;875104;1335; -   ;33.370;33.340;30;0:00:00;0:00;0:00:00;64:10:37;6;$ 737.868;18;542.800;228;3.462.723;22.950;40.800; -   ; -   ;7.000;$ 135
14-ene;B/BERMEJA;CARTAGENA;1338;160;572681;574598;1917; Revisar Km. ;33.150;33.000;150;0:00:00;0:00;0:00:00;48:16:59;5;$ 614.890;20;576.800;225;2.261.093;22.950;40.800; -   ;195.000;10.000;$ 135
14-ene;B/BERMEJA;CARTAGENA;1338;160;1054234;1056190;1956; Revisar Km. ;32.979;32.990;-11;0:00:00;0:00;0:00:00;65:45:13;7;$ 860.846;18;542.800;247;2.158.139;45.900;54.400; -   ;380.000;47.000;$ 135
14-ene;B/BERMEJA;CARTAGENA;1338;160;921673;923590;1917; Revisar Km. ;33.200;33.140;60;0:00:00;0:00;0:00:00;60:21:22;6;$ 737.868;20;576.800;258;2.280.242;45.900;40.800; -   ;574.000;10.000;$ 135
14-ene;SAN JUAN NEPOMUCENO;B/BERMEJA;N/A;0;946890;948123;1233;#­VALOR!; -   ; -   ; -   ;0:00:00;0:00;0:00:00;41:58:15;5;$ 614.890;9;259.300;237;1.944.800; -   ;20.400; -   ; -   ;45.000; $ - 
14-ene;B/BERMEJA;CARTAGENA;1338;160;121820;123115;1295; -   ;;33.730;-33.730;0:00:00;0:00;0:00:00;35:01:56;8;$ 983.824;20;576.800;240;2.138.756;45.900;27.200; -   ;80.000;70.000;$ 135
14-ene;B/BERMEJA;CARTAGENA;1338;160;490310;492258;1948; Revisar Km. ;33.507;33.670;-163;0:00:00;0:00;0:00:00;63:21:37;7;$ 860.846;18;569.200;228;1.856.670;22.950;54.400; -   ; -   ;60.000;$ 135
14-ene;B/BERMEJA;LA PUTANA;100;23;492272;492370;98; -   ;32.980;32.980; -   ;0:00:00;0:00;0:00:00;9:00:00;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
14-ene;B/BERMEJA;CARTAGENA;1338;160;316090;317511;1421; Revisar Km. ;33.439;33.430;9;0:00:00;0:00;0:00:00;63:09:44;6;$ 737.868;18;542.200;273;2.382.089;114.750;129.200; -   ;100.000;136.000;$ 130
15-ene;B/BERMEJA;TANGUA;2204;356;275342;277741;2399; Revisar Km. ;33.630;33.600;30;0:55:00;0:45;48:50:00;64:10:39;5;$ 614.890;27;990.300;373;3.478.969;91.800;108.800; -   ;174.000;87.000;$ 275
15-ene;B/BERMEJA;MOSQUERA;850;144;123721;124307;586; -   ;32.600;32.600; -   ;10:50:00;12:40;20:20:00;53:57:18;8;$ 983.824;9;471.300;128;1.125.157;45.900;47.600; -   ;32.000;22.000; $ - 
15-ene;B/BERMEJA;LA LIZAMA;68;30;875104;875795;691; Revisar Km. ;33.120;33.120; -   ;0:00:00;0:00;0:00:00;3:01:47;1;$ 122.978;0; -   ;17;149.377; -   ;13.600; -   ; -   ; -   ;$ 34
15-ene;B/BERMEJA;LA LIZAMA;68;30;24558;24655;97; -   ;33.300;33.300; -   ;0:43:00;1:27;2:30:00;5:14:49;1;$ 122.978;0; -   ;20;175.800; -   ;13.600; -   ; -   ; -   ;$ 34
15-ene;B/BERMEJA;LA PUTANA;100;23;24656;24754;98; -   ;33.510;33.510; -   ;0:57:00;0:36;2:00:00;3:04:31;1;$ 122.978;0; -   ;20;175.800; -   ;13.600; -   ; -   ; -   ;$ 20
16-ene;B/BERMEJA;B/MANGA;440;73;1056190;1056554;364; -   ;33.350;33.510;-160;17:53:00;0:47;14:00:00;13:36:38;1;$ 122.978;4;122.700;59;514.795;22.950;34.000; -   ; -   ;34.000;$ 78
16-ene;B/BERMEJA;LA PAYOA;68;30;24755;24852;97; -   ;33.040;33.040; -   ;1:07:00;4:30;1:30:00;3:33:22;1;$ 122.978;0; -   ;20;175.800; -   ;13.600; -   ; -   ; -   ;$ 20
17-ene;B/BERMEJA;MOSQUERA;850;144;123151;123721;570; -   ;31.110;31.110; -   ;1:56:00;0:24;12:30:00;25:26:46;2;$ 245.956;9;467.900;201;1.768.081;45.900;40.800; -   ; -   ; -   ; $ - 
17-ene;CARTAGENA;B/BERMEJA;N/A;0;558603;560010;1407;#­VALOR!;35.110;35.110; -   ;0:00:00;0:00;0:00:00;44:28:12;3;$ 368.934;18;575.500;145;1.273.706;68.850;61.200; -   ;151.000;40.000; $ - 
17-ene;B/BERMEJA;SAN JERONIMO;780;120;948123;948861;738; -   ;33.600;33.600; -   ;0:48:00;1:37;16:30:00;22:43:49;2;$ 245.956;;399.100;129;1.131.657;45.900;54.400; -   ; -   ;22.000;$ 120
17-ene;B/BERMEJA;LA PUTANA;100;23;24955;25053;98; -   ;32.850;32.850; -   ;1:16:00;0:44;1:20:00;3:43:49;1;$ 122.978;0; -   ;20;175.800; -   ;13.600; -   ; -   ; -   ;$ 20
18-ene;B/BERMEJA;ARAUCA-CALDAS;1094;160;277741;278710;969; -   ;33.620;33.620; -   ;1:23:00;0:27;16:00:00;37:38:42;3;$ 368.934;10;373.000;167;1.468.809;45.900;61.200; -   ;80.000;10.000;$ 140
18-ene;B/BERMEJA;CARTAGENA;1338;160;111254;112628;1374; -   ;34.000;34.003;33.940;0:00:00;0:00;0:00:00;30:29:46;2;$ 245.956;18;552.500;166;1.458.973;45.900;54.400; -   ; -   ;30.000;$ 135
18-ene;B/BERMEJA;MOSQUERA;850;144;1056554;1057418;864; -   ;33.130;33.130; -   ;5:28:00;0:30;12:30:00;26:24:07;1;$ 122.978;9;471.300;135;1.166.443;22.950;40.800; -   ;30.000;10.000; $ - 
18-ene;B/BERMEJA;CARTAGENA;1338;160;317522;318633;1111; -   ;33.488;33.510;-22;0:00:00;0:00;0:00:00;33:00:01;2;$ 245.956;18;552.500;161;1.414.249;45.900;54.400; -   ;509.000;20.000;$ 135
18-ene;B/BERMEJA;LA PUTANA;100;23;875795;876066;271; Revisar Km. ;32.920;32.920; -   ;3:21:00;1:44;1:50:00;3:50:56;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
18-ene;B/BERMEJA;LA PUTANA;100;23;25053;25151;98; -   ;33.670;33.670; -   ;1:48:00;0:56;1:20:00;2:42:29;1;$ 122.978;0; -   ;25;219.750; -   ;13.600; -   ; -   ; -   ;$ 20
19-ene;B/BERMEJA;BOGOTA;944;141;949032;950067;1035; Revisar Km. ;33.770;33.800;-30;8:59:00;0:37;23:00:00;30:24:45;3;$ 368.934;9;531.000;161;1.410.079;68.850;68.000; -   ;380.000;34.000;$ 125
20-ene;B/BERMEJA;B/MANGA;440;73;278710;278909;199; -   ; -   ; -   ; -   ;0:00:00;0:00;0:00:00;;2;$ 245.956;3;66.900;21;183.825; -   ;34.000; -   ; -   ;40.000; $ - 
20-ene;B/BERMEJA;LA LIZAMA;68;30;875971;876065;94; -   ;33.290;33.290; -   ;1:25:00;1:08;1:40:00;3:16:56;1;$ 122.978;0; -   ;42;372.986; -   ;20.400; -   ; -   ; -   ;$ 34
20-ene;B/BERMEJA;LA LIZAMA;68;30;25223;25319;96; -   ;33.020;33.020; -   ;1:27:00;0:14;1:30:00;0:29:09;1;$ 122.978;0; -   ;25;219.750; -   ;13.600; -   ;40.000; -   ;$ 34
21-ene;B/BERMEJA;B/MANGA;440;73;574600;574849;249; -   ; -   ; -   ; -   ;0:00:00;0:00;0:00:00;;5;$ 614.890;3;61.400;27;238.525;68.850;88.400; -   ; -   ;73.000; $ - 
21-ene;B/BERMEJA;SAN JERONIMO;780;120;112628;892403;779775; Revisar Km. ;34.190;34.190; -   ;2:09:00;0:35;12:00:00;21:40:42;2;$ 245.956;10;402.900;127;1.124.395;45.900;54.400; -   ; -   ;20.000;$ 120
21-ene;B/BERMEJA;ARAUCA-CALDAS;1094;160;318633;319419;786; -   ;33.760;33.760; -   ;1:35:00;0:39;24:30:00;27:52:45;2;$ 245.956;;333.300;163;1.430.001;45.900;40.800; -   ;30.000;18.000;$ 140
21-ene;B/BERMEJA;TANGUA;2204;356;492370;494660;2290; Revisar Km. ;33.290;33.320;-30;2:09:00;1:21;60:40:00;63:28:20;5;$ 614.890;26;1.075.100;350;2.923.253;114.750;102.000; -   ;36.000;41.000;$ 275
21-ene;B/BERMEJA;LA PUTANA;100;23;25319;25412;93; -   ;33.060;33.060; -   ;1:17:00;0:25;2:00:00;3:54:27;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
22-ene;B/BERMEJA;MOSQUERA;850;144;560067;560977;910; Revisar Km. ;23.280;23.280; -   ;2:13:00;0:38;30:30:00;26:00:25;3;$ 368.934;9;424.800;153;439.448;22.950;81.600; -   ;15.000;80.000; $ - 
22-ene;B/BERMEJA;MONTERREY;1528;253;948861;950237;1376; -   ;33.720;33.720; -   ;1:49:00;0:30;46:30:00;42:37:23;3;$ 368.934;18;762.300;227;2.032.578;68.850;68.000; -   ; -   ;36.000;$ 189
22-ene;B/BERMEJA;LA PUTANA;100;23;25412;25510;98; -   ;33.480;33.480; -   ;0:00:00;0:00;0:00:00;5:53:14;1;$ 122.978;0; -   ;40;351.600; -   ;13.600; -   ; -   ; -   ;$ 30
23-ene;B/BERMEJA;SAN JERONIMO;780;120;1057418;1058184;766; -   ;33.310;33.310; -   ;1:37:00;0:33;20:50:00;55:25:16;3;$ 368.934;10;402.900;124;1.088.266;68.850;68.000; -   ;130.000;66.000;$ 120
23-ene;B/BERMEJA;MOSQUERA;850;144;805155;806036;881; -   ;27.590;27.590; -   ;15:30:00;0:10;20:00:00;32:54:39;12;$ 1.475.736;9;470.400;154;1.362.510;105.000;115.600; -   ;35.000;205.000; $ - 
23-ene;B/BERMEJA;LA LIZAMA;68;30;25515;25613;98; -   ;33.080;33.080; -   ;1:31:00;0:17;1:20:00;9:16:48;1;$ 122.978;0; -   ;21;184.590; -   ;13.600; -   ; -   ; -   ;$ 34
23-ene;B/BERMEJA;LA PUTANA;100;23;494671;494775;104; -   ;32.000;32.000; -   ;22:58:00;1:00;1:50:00;6:30:56;1;$ 122.978;0; -   ;19;167.063; -   ;13.600; -   ; -   ; -   ;$ 20
24-ene;CARTAGENA;B/BERMEJA;N/A;0;892404;893838;1434;#­VALOR!;34.730;34.730; -   ;3:00:00;0:30;24:00:00;34:26:22;3;$ 368.934;18;587.400;164;1.445.849;68.850;74.800; -   ;40.000;20.000; $ - 
24-ene;B/BERMEJA;LA PAYOA;68;30;494775;494888;113; Revisar Km. ;32.630;32.630; -   ;1:15:00;0:21;2:00:00;3:45:32;1;$ 122.978;0; -   ;17;149.720; -   ;6.800; -   ;22.000;42.000;$ 20
24-ene;B/BERMEJA;SAN JERONIMO;780;120;319419;320030;611; -   ;33.710;33.710; -   ;0:00:00;0:00;0:00:00;22:54:04;2;$ 245.956;10;402.900;131;1.143.439;45.900;47.600; -   ;255.000;28.000;$ 120
24-ene;B/BERMEJA;BOGOTA;944;141;574853;575758;905; -   ;32.000;32.000; -   ;2:40:00;1:00;22:20:00;27:32:41;2;$ 245.956;10;494.400;117;1.029.949;45.900;47.600; -   ;15.000;10.000;$ 125
24-ene;B/BERMEJA;LA PUTANA;100;23;806039;806139;100; -   ;32.950;32.950; -   ;1:17:00;0:11;2:00:00;4:43:12;1;$ 122.978;0; -   ;17;156.672; -   ;13.600; -   ; -   ; -   ;$ 20
24-ene;B/BERMEJA;LA PUTANA;100;23;320030;320111;81; -   ;33.890;33.890; -   ;1:16:00;0:15;2:30:00;4:48:13;1;$ 122.978;0; -   ;15;123.721; -   ;13.600; -   ; -   ; -   ;$ 20
24-ene;B/BERMEJA;LA LIZAMA;68;30;1058184;1058279;95; -   ;32.720;32.720; -   ;1:09:00;0:11;1:40:00;4:21:41;1;$ 122.978;0; -   ;20;175.800; -   ;20.400; -   ; -   ; -   ;$ 34
24-ene;B/BERMEJA;LA LIZAMA;68;30;25613;25712;99; -   ;33.470;33.470; -   ;1:31:00;0:17;1:20:00;2:00:48;1;$ 122.978;0; -   ;21;184.590; -   ;13.600; -   ;31.000; -   ;$ 34
25-ene;B/BERMEJA;ARAUCA-CALDAS;1094;160;876066;877045;979; -   ;32.990;32.990; -   ;2:01:00;0:21;23:00:00;38:13:57;4;$ 491.912;8;333.300;160;1.408.297;91.800;95.200; -   ;122.000;52.000;$ 140
25-ene;B/BERMEJA;MOSQUERA;850;144;560977;561879;902; Revisar Km. ;32.840;32.840; -   ;6:10:00;0:30;17:40:00;22:55:13;2;$ 245.956;9;476.800;140;1.227.192;45.900;34.000; -   ;40.000;18.000; $ - 
26-ene;B/BERMEJA;CHIGORODO;1170;205;950237;951469;1232; Revisar Km. ;33.350;33.350; -   ;1:52:00;0:49;29:30:00;42:00:40;3;$ 368.934;10;402.400;221;1.965.336;68.850;74.800; -   ;263.000;36.000;$ 180
27-ene;B/BERMEJA;LA PUTANA;100;23;494888;495000;112; -   ;32.980;32.980; -   ;1:25:00;0:11;1:30:00;6:02:23;1;$ 122.978;0; -   ;20;175.686; -   ;6.800; -   ;150.000; -   ;$ 20
27-ene;B/BERMEJA;LA LIZAMA;68;30;25742;25833;91; -   ;31.690;31.690; -   ;2:02:00;0:18;1:30:00;7:16:19;1;$ 122.978;0; -   ;21;184.590; -   ;13.600; -   ; -   ; -   ;$ 34
28-ene;B/BERMEJA;TANGUA;2204;356;278909;281202;2293; Revisar Km. ;33.500;33.470;30;1:58:00;0:22;59:30:00;64:26:04;6;$ 737.868;26;1.075.100;380;3.521.576;137.700;136.000; -   ;209.000;81.000;$ 275
28-ene;B/BERMEJA;LA LIZAMA;68;30;877045;877142;97; -   ;32.480;32.480; -   ;0:50:00;6:10;2:50:00;4:21:58;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ;90.000; -   ;$ 34
28-ene;B/BERMEJA;ARAUCA-CALDAS;1094;160;1058279;1059254;975; -   ;32.970;32.970; -   ;0:56:00;0:30;26:49:00;32:08:46;2;$ 245.956;8;333.300;209;175.600;45.900;61.200; -   ;58.000;18.000;$ 140
28-ene;B/BERMEJA;MOSQUERA;850;144;806145;807056;911; Revisar Km. ;20.420;20.420; -   ;15:20:00;0:20;51:00:00;30:52:39;3;$ 368.934;9;401.000;159;1.406.105;35.000;54.400; -   ;73.000;108.000; $ - 
28-ene;B/BERMEJA;LA PAYOA;68;30;25847;25944;97; -   ;32.750;32.750; -   ;1:11:00;0:30;1:45:00;5:04:37;1;$ 122.978;0; -   ;21;184.590; -   ;13.600; -   ; -   ; -   ;$ 20
29-ene;CARTAGENA;B/BERMEJA;N/A;0;893838;895240;1402;#­VALOR!;34.650;34.730;-80;0:00:00;0:00;0:00:00;31:45:43;3;$ 368.934;18;587.400;160;1.406.399;68.850;74.800; -   ;40.000;20.000; $ - 
30-ene;B/BERMEJA;BOGOTA;944;141;807056;808039;983; -   ;28.420;28.420; -   ;6:00:00;0:45;20:00:00;30:31:57;2;$ 245.956;10;468.400;160;1.418.578;35.000;47.600; -   ;15.000;59.000; $ - 
31-ene;B/BERMEJA;SAN JERONIMO;780;120;281201;281945;744; -   ;33.560;33.560; -   ;0:56:00;0:40;37:00:00;25:53:16;3;$ 368.934;10;403.900;129;1.130.735;68.850;68.000; -   ; -   ;36.000;$ 120
31-ene;CARTAGENA;B/BERMEJA;N/A;0;895242;896643;1401;#­VALOR!;34.700;34.700; -   ;0:00:00;0:00;0:00:00;30:57:20;2;$ 245.956;18;587.400;160;1.306.399;45.900;47.600; -   ; -   ;8.000; $ - 
31-ene;B/BERMEJA;LA PUTANA;100;23;321935;322019;84; -   ;33.700;33.700; -   ;0:50:00;0:30;1:40:00;4:04:34;1;$ 122.978;0; -   ; -   ; -   ; -   ;13.600; -   ; -   ; -   ;$ 20
31-ene;B/BERMEJA;LA LIZAMA;68;30;260939;261037;98; -   ;32.880;32.880; -   ;2:08:00;0:30;2:00:00;1:45:07;1;$ 122.978;0; -   ;21;184.590; -   ;13.600; -   ; -   ; -   ;$ 34
1-feb;B/BERMEJA;MOSQUERA;850;144;923631;924534;903; Revisar Km. ;28.180;28.190;-10;13:30:00;0:30;24:30:00;24:39:25;3;$ 368.934;9;427300; -   ; -   ;68.850;74.800; -   ;126.000;90.000; $ - 
